CEID1,CEID2,CEID3,CEID4,CEID5,CEID6,CEID7,CEID8,CEID9,CEID10,CEID11,ce_name
358,1010358,70358,40358,80358,4026540358,80358,151309358,20358,100358,60358,SideStorageB_Maint
359,1010359,70359,40359,80359,4026540359,80359,151309359,20359,100359,60359,LoadLockA_Online
360,1010360,70360,40360,80360,4026540360,80360,151309360,20360,100360,60360,LoadLockA_Offline
361,1010361,70361,40361,80361,4026540361,80361,151309361,20361,100361,60361,LoadLockA_Maint
362,1010362,70362,40362,80362,4026540362,80362,151309362,20362,100362,60362,LoadLockB_Online
363,1010363,70363,40363,80363,4026540363,80363,151309363,20363,100363,60363,LoadLockB_Offline
364,1010364,70364,40364,80364,4026540364,80364,151309364,20364,100364,60364,LoadLockB_Maint
365,1010365,70365,40365,80365,4026540365,80365,151309365,20365,100365,60365,LoadLockC_Online
366,1010366,70366,40366,80366,4026540366,80366,151309366,20366,100366,60366,LoadLockC_Offline
367,1010367,70367,40367,80367,4026540367,80367,151309367,20367,100367,60367,LoadLockC_Maint
368,1010368,70368,40368,80368,4026540368,80368,151309368,20368,100368,60368,SFEMStateOnline
369,1010369,70369,40369,80369,4026540369,80369,151309369,20369,100369,60369,SFEMStateOffline
370,1010370,70370,40370,80370,4026540370,80370,151309370,20370,100370,60370,SFEMStateMaint
401,1010401,70401,40401,80401,4026540401,80401,151309401,20401,100401,60401,CarrierModuleOnline
402,1010402,70402,40402,80402,4026540402,80402,151309402,20402,100402,60402,CarrierModuleOffline
403,1010403,70403,40403,80403,4026540403,80403,151309403,20403,100403,60403,CarrierModuleMaint
411,1010411,70411,40411,80411,4026540411,80411,151309411,20411,100411,60411,CarrierLoadPortReadyToLoad
412,1010412,70412,40412,80412,4026540412,80412,151309412,20412,100412,60412,CarrierLoadPortOutOfService
413,1010413,70413,40413,80413,4026540413,80413,151309413,20413,100413,60413,CarrierLoadPortReadyToUnload
414,1010414,70414,40414,80414,4026540414,80414,151309414,20414,100414,60414,CarrierLoadPortTransferBloacked
415,1010415,70415,40415,80415,4026540415,80415,151309415,20415,100415,60415,CarrierIdNotRead
416,1010416,70416,40416,80416,4026540416,80416,151309416,20416,100416,60416,CarrierIdWaitingForHost
417,1010417,70417,40417,80417,4026540417,80417,151309417,20417,100417,60417,CarrierIdVerificationOK
418,1010418,70418,40418,80418,4026540418,80418,151309418,20418,100418,60418,CarrierIdVerificationFailed
419,1010419,70419,40419,80419,4026540419,80419,151309419,20419,100419,60419,CarrierSlotMapWaitingForHost
420,1010420,70420,40420,80420,4026540420,80420,151309420,20420,100420,60420,CarrierSlotMapVerificationOK
421,1010421,70421,40421,80421,4026540421,80421,151309421,20421,100421,60421,CarrierSlotMapVerificationFailed
422,1010422,70422,40422,80422,4026540422,80422,151309422,20422,100422,60422,CarrierSlotMapNotRead
423,1010423,70423,40423,80423,4026540423,80423,151309423,20423,100423,60423,CarrierNotAccessed
424,1010424,70424,40424,80424,4026540424,80424,151309424,20424,100424,60424,CarrierInAccess
425,1010425,70425,40425,80425,4026540425,80425,151309425,20425,100425,60425,CarrierComplete
426,1010426,70426,40426,80426,4026540426,80426,151309426,20426,100426,60426,CarrierStopped
427,1010427,70427,40427,80427,4026540427,80427,151309427,20427,100427,60427,CarrierNoState
428,1010428,70428,40428,80428,4026540428,80428,151309428,20428,100428,60428,CarrierLoadPortNotReserved
429,1010429,70429,40429,80429,4026540429,80429,151309429,20429,100429,60429,CarrierLoadPortReserved
430,1010430,70430,40430,80430,4026540430,80430,151309430,20430,100430,60430,CarrierLoadPortNotAssociated
431,1010431,70431,40431,80431,4026540431,80431,151309431,20431,100431,60431,CarrierLoadPortAssociated
432,1010432,70432,40432,80432,4026540432,80432,151309432,20432,100432,60432,CarrierAccessModeManul
433,1010433,70433,40433,80433,4026540433,80433,151309433,20433,100433,60433,CarrierAccessModeAuto
434,1010434,70434,40434,80434,4026540434,80434,151309434,20434,100434,60434,EntryCarrierUnloaded
435,1010435,70435,40435,80435,4026540435,80435,151309435,20435,100435,60435,CarrierProcessStart
436,1010436,70436,40436,80436,4026540436,80436,151309436,20436,100436,60436,CarrierProcessEnd
437,1010437,70437,40437,80437,4026540437,80437,151309437,20437,100437,60437,CarrireLoaded
